RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1288,15565701,Ferri,698,Spain,Female,39,9,161993.890625,1,False,False,90212.3828125,False
4199,15565706,Akobundu,612,Spain,Male,35,1,0.0,1,True,True,83256.2578125,True
7091,15565714,Cattaneo,601,France,Male,47,1,64430.05859375,2,False,True,96517.96875,False
2021,15565779,Kent,627,Germany,Female,30,6,57809.3203125,1,True,False,188258.484375,False
3698,15565796,Docherty,745,Germany,Male,48,10,96048.546875,1,True,False,74510.6484375,False
3417,15565806,Toosey,532,France,Male,38,9,0.0,2,False,False,30583.94921875,False
6882,15565878,Bates,631,Spain,Male,29,3,0.0,2,True,True,197963.453125,False
9515,15565879,Riley,845,France,Female,28,9,0.0,2,True,True,56185.98046875,False
5796,15565891,Dipietro,709,France,Male,39,8,0.0,2,True,False,56214.08984375,False
7187,15565996,Arnold,653,France,Male,44,8,0.0,2,True,True,154639.71875,False
6476,15566030,Tu,497,Germany,Male,41,5,80542.8125,1,False,False,88729.21875,True
913,15566091,Thomsen,545,Spain,Female,32,4,0.0,1,True,False,94739.203125,False
425,15566111,Estes,596,France,Male,39,9,0.0,1,True,False,48963.58984375,False
9632,15566139,Ts'ui,526,France,Female,37,5,53573.1796875,1,True,False,62830.96875,False
982,15566156,Franklin,749,Germany,Female,44,0,71497.7890625,2,False,False,151083.796875,False
1463,15566211,Hsu,616,Germany,Female,41,1,103560.5703125,1,True,False,236.4499969482422,True
1141,15566251,Ferrari,618,France,Female,37,5,96652.859375,1,True,False,98686.3984375,True
5425,15566253,Manning,580,Germany,Male,44,9,143391.0625,1,False,False,146891.0625,True
5345,15566269,Chialuka,787,France,Male,25,5,0.0,2,True,False,47307.8984375,False
704,15566292,Okwuadigbo,574,Spain,Male,36,1,0.0,2,False,True,71709.1171875,False
4151,15566295,Sanders,761,France,Female,33,6,138053.796875,2,True,False,148779.40625,False
6355,15566312,Jolly,660,Spain,Female,42,5,0.0,3,True,True,189016.234375,True
9514,15566378,Tillman,515,France,Male,48,5,129387.9375,1,False,True,147955.90625,True
7787,15566380,Drury,586,Spain,Female,33,10,66948.671875,2,True,True,140759.03125,False
4444,15566467,Hannah,683,Germany,Female,32,0,138171.09375,2,True,True,188203.578125,False
2045,15566494,Fang,487,France,Male,45,2,0.0,2,True,False,77475.7265625,False
7228,15566495,Hanson,704,Spain,Female,24,2,0.0,1,True,False,35600.25,True
9678,15566531,Iloerika,724,Germany,Male,33,4,88046.8828125,1,False,True,186942.484375,True
9962,15566543,Aldridge,573,Spain,Male,44,9,0.0,2,True,False,107124.171875,False
7738,15566563,Duigan,777,France,Female,30,4,137851.3125,1,True,False,5008.22998046875,True
411,15566594,McKenzie,709,Spain,Male,23,10,0.0,2,False,False,129590.1796875,False
3905,15566633,Freeman,698,Germany,Male,55,8,155059.09375,2,True,True,144584.296875,False
4231,15566660,Cole,670,France,Female,41,10,0.0,3,True,False,81602.0234375,False
3193,15566689,Chimaoke,554,Spain,Male,66,8,0.0,2,True,True,116747.6171875,False
2758,15566708,Chidalu,444,France,Female,45,4,0.0,2,True,False,161653.5,True
8429,15566735,Obialo,548,Germany,Female,36,2,108913.84375,2,True,True,140460.015625,False
5542,15566740,Nazarova,587,Spain,Male,51,3,83739.3203125,1,False,True,148798.453125,False
8182,15566790,McIntyre,598,France,Male,28,8,129991.7578125,2,False,True,46041.078125,False
1906,15566843,Gotch,535,Germany,Male,20,9,134874.40625,1,True,True,118825.5625,False
6904,15566891,Kinder,584,Germany,Female,41,3,88594.9296875,1,True,False,178997.890625,False
6426,15566894,Gray,793,France,Male,39,3,137817.515625,1,False,False,83997.7890625,False
1887,15566958,Li Fonti,667,Spain,Male,39,7,167557.125,1,True,True,41183.01953125,False
5932,15566988,Iqbal,656,Germany,Female,46,7,141535.515625,1,True,False,50595.1484375,True
5550,15567013,De Luca,779,Spain,Male,33,3,0.0,2,True,False,30804.6796875,False
4401,15567063,Manna,766,Germany,Female,34,6,106434.9375,1,False,True,137995.65625,True
4640,15567078,Kovaleva,789,France,Female,27,8,66201.9609375,1,True,True,79458.1171875,False
3320,15567114,McGarry,430,France,Male,35,1,118894.21875,1,False,False,2923.610107421875,False
8378,15567147,Ratten,802,Spain,Male,40,4,0.0,2,True,True,81908.09375,False
5350,15567246,Selwyn,684,Germany,Male,32,3,102630.1328125,2,True,True,127433.46875,False
4043,15567328,Ch'en,738,Spain,Male,38,5,177997.0625,1,False,True,19233.41015625,False
2584,15567333,Archambault,712,France,Female,31,7,0.0,2,True,False,170333.375,False
4235,15567335,Allsop,559,France,Female,42,7,0.0,2,True,True,190040.296875,False
9113,15567339,Shaw,735,France,Male,73,9,0.0,1,True,True,114283.328125,False
800,15567367,Tao,601,Germany,Female,42,9,133636.15625,1,False,True,103315.7421875,False
8758,15567383,Slone,678,Germany,Female,44,2,98009.1328125,2,False,True,31384.859375,False
2000,15567399,Enderby,633,Germany,Male,43,3,144164.296875,1,True,True,158646.453125,False
1724,15567422,Chiazagomekpele,630,France,Male,42,6,0.0,2,True,False,162697.9375,False
6167,15567431,Kodilinyechukwu,773,France,Male,64,2,145578.28125,1,False,True,186172.84375,False
8728,15567437,Emenike,734,Germany,Female,30,7,123040.3828125,1,True,True,76503.0625,False
5509,15567442,Ibezimako,656,France,Female,75,3,0.0,2,True,True,1276.8699951171875,False
598,15567446,Coffman,646,Germany,Male,39,9,111574.40625,1,True,True,30838.509765625,False
2557,15567486,Li,634,Spain,Female,41,4,0.0,2,True,True,164549.734375,False
8487,15567506,Cheatham,738,Germany,Female,40,6,114940.671875,2,True,True,194895.5625,True
4205,15567557,Chien,573,France,Male,27,2,128243.03125,1,True,True,11631.33984375,False
5272,15567630,Bruce,721,Germany,Male,40,6,100275.8828125,1,True,False,138564.484375,True
8545,15567725,Kodilinyechukwu,689,France,Female,46,7,52016.078125,2,True,True,72993.6484375,False
8524,15567778,Genovese,690,Germany,Female,54,1,144027.796875,1,True,True,108731.0234375,True
4805,15567802,Childs,450,Spain,Female,34,2,0.0,2,True,False,175480.9375,False
